Company,Sector,Headquarters,Amount,Funding_Round_Type,Lead_Investors
Zaggle Prepaid Ocean Services,Enterprise Fintech,Hyderabad,Rs 595 crore,Funding Round,Qualified Institutional Placement (Bank of India - largest buyer)
EPACK Prefab,Pre-engineered Buildings,Greater Noida,$20 million,First Funding Round,GEF Capital Partners
Captain Fresh,Seafood B2B,Bengaluru,Rs 100 crore (~$12 million),Funding Round,Motilal Oswal Wealth Limited
Univest,Retail Advisory Platform,Gurugram,$10 million,Series A,Bertelsmann India Investments (BII)
Mindgrove Technologies,Semiconductor Design,Chennai,$8 million,Series A,"Rocketship.vc, Speciale Invest, Mela Ventures, Peak XV Partners, Nishchay Goel, Whiteboard Capital, Anshul Goel"
HostBooks,Enterprise SaaS Fintech,Gurugram,$5 million,Funding Round,Orange Orbit (as part of a $15M Series B funding round)
Sparkl Edventure,Edtech,Delhi,$4 million,Seed Round,"Rainmatter Foundation (Nithin Kamath), Zomato’s Deepinder Goyal"
Arata,D2C Haircare,New Delhi,$4 million (~Rs 34 crore),Series A,"Unilever Ventures, L’Oréal’s BOLD Ventures, Skywalker Family Office"
Confido Health,AI-focused Healthtech,"New Jersey, US",$3 million,Seed Round,"Together Fund, MedMountain Ventures, Rebellion VC, DeVC, Operators Studio, strategic healthcare operators"
SustVest,Sustainable Investment Platform,Gurugram,$1.7 million,Pre-Series A (Equity & Debt),"Inflection Point Ventures, Antler, WEH Ventures, Venture Catalysts, Soonicorn Ventures, FAAD Network"
Leanworx,Manufacturing Data Solutions,Bengaluru,Rs 8.3 crore (~$1 million),Seed Round,"YourNest Venture Capital, angel investment group"
Proxgy,IoT Solutions,Gurugram,$3 million (ongoing),Series A,"Ajinkya Rahane, Nikhil Kamath, Suniel Shetty, Vinod Duggar, Manish Patel"
KiranaPro,Quick Commerce,Bengaluru,Undisclosed,Seed Funding,"Turbostart, Unpopular Ventures, Blume Founders Fund, Snow Leopard Ventures"
Naxatra Labs,Tech Solutions,Ahmedabad,Undisclosed,Seed Funding,"GVFL, Mohit Tandon (Delhivery), Himanshu Aggarwal (Aspiring Minds), Rainmatter Foundation (Nithin Kamath), Vijay Shekhar Sharma, Aloke Bajpai, Rajnish Kumar, Narayan (Ather Energy)"
Bureau,Risk Intelligence,India,$30 million,Series B,"Sorenson Capital, PayPal Ventures, Commerce Ventures, GMO Venture Partners, Village Global, Quona Capital, XYZ Ventures"
Bizom,Retail Intelligence,Bengaluru,$12 million,Series B,"Pavestone ($7.5M), IndiaMART, and family offices"
Seekho,Learning-focused OTT Platform,Bengaluru,$8 million,Series A,Lightspeed
ZingBus,Intercity Mobility,Gurugram,Rs 59 crore (~$7 million),Funding Round,BP Technology Ventures
QuiD Cash,Supply Chain Fintech,Bengaluru,$4.5 million (~Rs 38.23 crore),Pre-Series A,"Angel investors, including Piyush Jain, and MINTCAP"
Inkers Technology,Prop-tech,Bengaluru,$3 million,Series A,Ashish Kasholia (Lucky Investments)
Confido Health,AI-focused Healthtech,Ichalkaranji,$3 million,Seed Round,"Together Fund, MedMountain Ventures, Rebellion VC, DeVC, Operators Studio, strategic healthcare operators"
Zunroof,Rooftop Solar,Gurugram,Rs 20 crore (~$2.3 million),Funding Round,"ANBG Enterprise LLP (Godrej Family Office), Ravindernath Chadha"
Quanfluence,Photonic Quantum Technology,Bengaluru,$2 million,Seed Round,"pi Ventures, Golden Sparrow, Reena Dayal"
Mili,AI Wealth Management Assistant,Mumbai,$2 million,Seed Round,"Chiratae, BoldCap, Sparrow Capital, SFMG Wealth Advisors, Gregg Fisher (Quent Capital), Better Capital"
Curie Money,Fintech Platform,Bengaluru,$1.2 million,Seed Round,"India Quotient, institutional and angel investors"
Resilience AI,Climate Technology,Gurugram,$1 million,Seed Round,Kalaari Capital (CXXO Initiative)
Fitsol,Decarbonization for Manufacturing,New Delhi,$1 million,Seed Round,Transition VC
Fibroheal Woundcare,Medical Devices,Bengaluru,"Rs 6.3 crore (~$760,000)",Pre-Series A,"Existing promoters, surgeons, medical professionals, and bankers"
VOICE,Electric Vehicles,Delhi,"Rs 5 crore (~$600,000)",Seed Round,BizDateUp
MBG Card,SaaS,Jabalpur,"Rs 2.72 crore (~$327,000)",Funding Round,"Inflection Point Ventures, Velocity, Klub"
Rebel Foods,Foodtech,Mumbai,$210 million,Series G,"Temasek, Evolvence"
Mintifi,Supply-Chain Financing,Mumbai,$180 million,Series E,"Teachers’ Venture Growth (TVG), Prosus, Premji Invest"
Zetwerk,Contract Manufacturing,Bengaluru,$70 million,Fresh Funding,"Khosla Ventures, Baillie Gifford, Rakesh Gangwal"
CarDekho SEA,Digital Automotive Solutions,Singapore,$60 million,External Funding Round,"Navis Capital Partners, Dragon Fund"
Haber,Industrial Robotics,Pune,$44 million,Series C,"Creaegis, BEENEXT, Accel"
Wooden Street,Furniture & Home Decor,Jaipur,Rs 354 crore (~$43 million),Series C,Premji Invest
SolarSquare,Solar Startup,Mumbai,$40 million,Series B,"Lightspeed, Lightrock, Elevation Capital, Chris Sacca’s Lowercarbon, Nithin Kamath’s Rainmatter, Gruhas Proptech"
K12 Techno Services,Edtech - Schools,Bengaluru,$40 million,Investment,Kenro Capital
LambdaTest,Cloud-Based Testing Platform,San Francisco,$38 million,Funding Round,"Avataar Ventures, Qualcomm Ventures"
OneCard,Credit Card Issuance,Pune,$25.5 million,Fresh Funding,"QED Investors, Peak XV Partners, Z47, Better Tomorrow Ventures"
Pixxel,Spacetech,Bengaluru,$24 million,Series B (Additional Funding),"M&G Catalyst, Glade Brook Capital Partners, Google, Radical Ventures, Lightspeed"
Snapmint,Fintech,Mumbai,$18 million,Debt and Equity Round,"Prashasta Seth (Prudent Investment Manager), Perpetuity Ventures, Pegasus Fininvest"
RapidCanvas,AI Business Transformation,Austin,$16 million,Series A,"Peak XV Partners, Titanium Ventures, Accel, Valley Capital Partners"
Varthana,NBFC - Education Loans,Bengaluru,$15 million (~Rs 120 crore),Funding Round,BlueOrchard Microfinance Fund
Avanti Finance,NBFC,Auckland,$14.2 million (~Rs 120 crore),Series B,"Dia Vikas Capital, IDH Farmfit Fund, NRJN Family Trust, Rabo Partnerships"
Orange Health Labs,Diagnostics & Healthcare,Bengaluru,$12 million,Funding Round,"Amazon Smbhav Venture Fund, Accel, General Catalyst, Bertelsmann India Investments, Y Combinator"
Stage,Regional OTT Platform,Indore,Rs 84.6 crore (~$10 million),Series B,"Goodwater Capital, Blume Ventures"
DCDC Kidney Care,Healthcare,New Delhi,Rs 82 crore (~$10 million),Strategic Investment,British International Investment (BII)
FirstClub,Quick Commerce,Bengaluru,$8 million,Funding Round,"Accel, RTP Global, Blume Founders Fund, Quiet Capital, 2am VC, angel investors"
FinX,Skilling Platform,Mumbai,$6 million,Funding Round,Elevar Equity
Culture Circle,Sneakers & Streetwear,Gurugram,$2 million,Seed Round,"Info Edge Ventures, angel investors"
Superfone,SMB CRM App,Bengaluru,$1.9 million (~Rs 15.8 crore),Pre-Series A,"YourNest Venture Capital, Ankur Capital, Finsight Seed Fund, angel investors"
